temp,k,A,kappa,rho_l_pred,rho_g_pred,rho_l_calc,rho_g_calc,p_l,p_g,delta_p,radius,sigma,interface,spurious_current
0.8,0.02,-0.23999999463558197,0.0,6.7644704,0.838834226,6.838029,0.90126663,0.3747616,0.3014982,0.07326341,26.862778777488767,1.9680586881055226,11.941757771277974,5.8128728e-05
0.8,0.02,-0.23999999463558197,0.0,6.7644704,0.838834226,6.838035,0.9014871,0.37476933,0.30154583,0.0732235,26.862218432563527,1.9669456901821765,11.94223151390241,5.8340564e-05
0.8,0.02,-0.23999999463558197,0.0,6.7644704,0.838834226,6.8380394,0.90127015,0.37477586,0.30149898,0.07327688,26.863555662279914,1.968477474880517,11.941904524108729,5.861176e-05
0.8,0.02,-0.23999999463558197,0.0,6.7644704,0.838834226,6.838032,0.9014319,0.3747656,0.30153388,0.07323173,26.863368925773308,1.96725089637898,11.942288876888778,5.9172206e-05
0.8,0.02,-0.23999999463558197,0.5,6.7644704,0.838834226,6.76447,0.83883417,0.28752127,0.2875212,5.9604645e-08,29.992255445678197,1.787677731852424e-06,5.432319447753258,0.0516287
0.8,0.02,-0.23999999463558197,0.5,6.7644704,0.838834226,6.7565713,0.8687284,0.27867156,0.29433754,-0.015665978,28.193130727211898,0.4416729711728808,12.901010649602267,0.006731817
0.8,0.02,-0.23999999463558197,0.5,6.7644704,0.838834226,6.7929745,0.9040149,0.32029277,0.30209073,0.018202037,26.697036146919626,0.4859404295699741,12.484567649289172,0.0064879144
0.8,0.02,-0.23999999463558197,0.5,6.7644704,0.838834226,6.804288,0.9523314,0.33366227,0.3121957,0.021466583,25.453087352057008,0.5463908125936779,12.51547623556759,0.0034542005
0.8,0.02,-0.23999999463558197,0.5,6.7644704,0.838834226,6.8117986,0.9511596,0.34264976,0.3119576,0.03069216,25.007880585033067,0.7675458754164274,12.627431215055413,0.0007031191
0.8,0.02,-0.23999999463558197,0.5,6.7644704,0.838834226,6.8128104,0.94219697,0.3438657,0.31012496,0.03374073,25.171975766839726,0.8493208150983859,12.595419280857378,0.0005283997
0.8,0.02,-0.23999999463558197,0.5,6.7644704,0.838834226,6.812866,0.948441,0.34393373,0.3114038,0.03252992,25.305191680686388,0.8231758695506408,12.61808517943599,0.000724038
0.8,0.02,-0.23999999463558197,0.5,6.7644704,0.838834226,6.8123035,0.93424815,0.3432551,0.3084827,0.034772396,25.489612997544924,0.8863349192714541,12.5771251579655,0.00038548163
